交易日期,股票代码,总市值,是否交易,最后一天涨跌幅,交易天数,下月涨幅
2012-11-30,sh600000,1.3915489676e+11,1,0.006748,22,0.329759569545
2012-12-31,sh600000,1.8504243644e+11,1,0.034411,21,0.15725592391
2013-01-31,sh600000,2.1414185184e+11,1,0.021352,20,-0.0365864883664
2013-02-28,sh600000,2.0630739385e+11,1,0.064485,15,-0.0840867252644
2013-03-31,sh600000,1.8895966543e+11,1,0.010978,21,-0.0246772640411
2013-04-30,sh600000,1.8429629758e+11,1,-0.003027,18,0.0597173094192
2013-05-31,sh600000,1.9530184572e+11,1,-0.006641,22,-0.164966148532
2013-06-30,sh600000,1.5445074332e+11,1,0.050761,17,-0.0507266033103
2013-07-31,sh600000,1.4661628532e+11,1,0.002551,23,0.143765089868
2013-08-31,sh600000,1.6769470802e+11,1,0.007848,22,0.122360205431
2013-09-30,sh600000,1.8821352658e+11,1,-0.014648,19,0.0237827741193
2013-10-31,sh600000,1.9269035972e+11,1,-0.024551,18,-0.0329147093081
2013-11-30,sh600000,1.8634817944e+11,1,0.003012,21,-0.0560567667259
2013-12-31,sh600000,1.7590223544e+11,1,0.025,22,-0.0275698890868
2014-01-31,sh600000,1.7105233288e+11,1,-0.012917,21,-0.0283536844366
2014-02-28,sh600000,1.6620243031e+11,1,-0.003356,16,0.0909077841705
2014-03-31,sh600000,1.8131174215e+11,1,0.005171,20,0.00514518950363
2014-04-30,sh600000,1.8224441572e+11,1,-0.003061,21,-0.0204721373773
2014-05-31,sh600000,1.7851372144e+11,1,-0.005198,20,0.0147031358951
2014-06-30,sh600000,1.6881391631e+11,1,0.008919,20,0.08287414796
2014-07-31,sh600000,1.8280401987e+11,1,0.009269,23,-0.0336745396335
2014-08-31,sh600000,1.766483743e+11,1,0.011752,21,0.0295656288329
2014-09-30,sh600000,1.818713463e+11,1,-0.001025,21,0.0461562499922
2014-10-31,sh600000,1.9026540843e+11,1,0.039755,18,0.215687211107
2014-11-30,sh600000,2.3130304555e+11,1,0.080139,20,0.265322096168
2014-12-31,sh600000,2.926729665e+11,1,0.021484,23,-0.0777584742059
2015-01-31,sh600000,2.6991573138e+11,1,0.003467,20,0.00414648650075
2015-02-28,sh600000,2.7103493966e+11,1,-0.006156,15,0.0867164679691
2015-03-31,sh600000,2.9453831364e+11,1,-0.014357,22,0.144395442476
2015-04-30,sh600000,3.3706822847e+11,1,-0.024825,21,-0.0570018485945
2015-05-31,sh600000,3.17856e+11,1,0.0,20,0.0416827609377
